number,available_bikes,available_bikes_stands,last_update
50,13,27,"2021-03-22 13:41:48"
66,3,37,"2021-03-22 13:41:44"
94,11,29,"2021-03-22 13:41:35"
21,13,17,"2021-03-22 13:41:35"
76,11,27,"2021-03-22 13:41:21"
101,10,19,"2021-03-22 13:41:13"
111,9,31,"2021-03-22 13:41:11"
65,15,25,"2021-03-22 13:40:50"
22,3,17,"2021-03-22 13:40:47"
23,13,17,"2021-03-22 13:40:47"
85,20,15,"2021-03-22 13:40:29"
9,9,15,"2021-03-22 13:40:24"
33,8,15,"2021-03-22 13:40:10"
25,10,20,"2021-03-22 13:40:02"
15,6,10,"2021-03-22 13:40:00"
39,7,13,"2021-03-22 13:39:55"
75,14,26,"2021-03-22 13:39:53"
86,11,26,"2021-03-22 13:39:53"
117,0,40,"2021-03-22 13:39:48"
28,6,24,"2021-03-22 13:39:45"
105,6,30,"2021-03-22 13:39:43"
45,6,24,"2021-03-22 13:39:42"
18,13,17,"2021-03-22 13:39:38"
103,7,33,"2021-03-22 13:39:33"
44,17,13,"2021-03-22 13:39:29"
45,5,25,"2021-03-22 13:39:29"
100,16,9,"2021-03-22 13:39:27"
47,6,34,"2021-03-22 13:39:26"
80,19,21,"2021-03-22 13:39:22"
54,11,22,"2021-03-22 13:39:21"
91,6,24,"2021-03-22 13:39:14"
68,15,25,"2021-03-22 13:39:12"
58,11,29,"2021-03-22 13:39:05"
21,12,18,"2021-03-22 13:39:04"
16,11,9,"2021-03-22 13:38:55"
107,10,30,"2021-03-22 13:38:55"
29,7,22,"2021-03-22 13:38:53"
104,18,22,"2021-03-22 13:38:53"
56,11,29,"2021-03-22 13:38:47"
41,3,17,"2021-03-22 13:38:45"
84,17,13,"2021-03-22 13:38:41"
105,5,31,"2021-03-22 13:38:40"
106,7,33,"2021-03-22 13:38:36"
49,12,28,"2021-03-22 13:38:21"
24,2,18,"2021-03-22 13:38:18"
48,4,36,"2021-03-22 13:38:15"
112,11,19,"2021-03-22 13:38:13"
32,13,17,"2021-03-22 13:38:12"
34,15,15,"2021-03-22 13:37:58"
109,19,10,"2021-03-22 13:37:57"
37,1,29,"2021-03-22 13:37:53"
111,10,30,"2021-03-22 13:37:50"
42,12,18,"2021-03-22 13:37:40"
110,17,23,"2021-03-22 13:37:37"
72,6,25,"2021-03-22 13:37:37"
27,7,13,"2021-03-22 13:37:27"
