description,temp,temp_min,temp_max,humidity,intervals,number,available_bikes,available_bikes_stands,Day,Bikes_available
scattered clouds,12,10,12,76,2021-03-19 15:30:00,54,10,23,Friday,10
scattered clouds,12,10,12,76,2021-03-19 15:30:00,9,19,5,Friday,19
scattered clouds,12,10,12,76,2021-03-19 15:30:00,62,6,34,Friday,6
scattered clouds,12,10,12,76,2021-03-19 15:30:00,69,10,30,Friday,10
scattered clouds,12,10,12,76,2021-03-19 15:30:00,88,12,18,Friday,12
scattered clouds,12,10,12,76,2021-03-19 15:30:00,77,13,16,Friday,13
scattered clouds,12,10,12,76,2021-03-19 15:30:00,83,16,24,Friday,16
scattered clouds,12,10,12,76,2021-03-19 15:30:00,117,0,40,Friday,0
scattered clouds,12,10,12,76,2021-03-19 15:30:00,57,6,17,Friday,6
scattered clouds,12,10,12,76,2021-03-19 15:30:00,42,12,18,Friday,12
scattered clouds,12,10,12,76,2021-03-19 15:30:00,98,6,34,Friday,6
scattered clouds,12,10,12,76,2021-03-19 15:30:00,33,9,14,Friday,9
scattered clouds,12,10,12,76,2021-03-19 15:30:00,105,11,25,Friday,11
scattered clouds,12,10,12,76,2021-03-19 15:30:00,114,3,37,Friday,3
scattered clouds,12,10,12,76,2021-03-19 15:30:00,4,11,9,Friday,11
scattered clouds,12,10,12,76,2021-03-19 15:30:00,13,6,24,Friday,6
scattered clouds,12,10,12,76,2021-03-19 15:30:00,11,9,21,Friday,9
scattered clouds,12,10,12,76,2021-03-19 15:30:00,85,10,25,Friday,10
scattered clouds,12,10,12,76,2021-03-19 15:30:00,72,20,11,Friday,20
scattered clouds,12,10,12,76,2021-03-19 15:30:00,25,15,15,Friday,15
scattered clouds,12,10,12,76,2021-03-19 15:30:00,31,15,5,Friday,15
scattered clouds,12,10,12,76,2021-03-19 15:30:00,103,11,29,Friday,11
scattered clouds,12,10,12,76,2021-03-19 15:30:00,48,7,33,Friday,7
scattered clouds,12,10,12,76,2021-03-19 15:30:00,66,20,20,Friday,20
scattered clouds,12,10,12,76,2021-03-19 15:30:00,28,16,14,Friday,16
scattered clouds,12,10,12,76,2021-03-19 15:30:00,30,8,12,Friday,8
scattered clouds,12,10,12,76,2021-03-19 15:30:00,58,12,28,Friday,12
scattered clouds,12,10,12,76,2021-03-19 15:30:00,95,18,22,Friday,18
scattered clouds,12,10,12,76,2021-03-19 15:30:00,49,6,34,Friday,6
scattered clouds,12,10,12,76,2021-03-19 15:30:00,101,8,22,Friday,8
scattered clouds,12,10,12,76,2021-03-19 15:30:00,15,14,2,Friday,14
scattered clouds,12,10,12,76,2021-03-19 15:30:00,3,4,16,Friday,4
scattered clouds,12,10,12,76,2021-03-19 15:30:00,38,15,25,Friday,15
scattered clouds,12,10,12,76,2021-03-19 15:30:00,86,6,32,Friday,6
scattered clouds,12,10,12,76,2021-03-19 15:30:00,67,3,37,Friday,3
scattered clouds,12,10,12,76,2021-03-19 15:30:00,13,5,25,Friday,5
scattered clouds,12,10,12,76,2021-03-19 15:30:00,104,9,31,Friday,9
scattered clouds,12,10,12,76,2021-03-19 15:30:00,39,10,10,Friday,10
scattered clouds,12,10,12,76,2021-03-19 15:30:00,100,19,6,Friday,19
scattered clouds,12,10,12,76,2021-03-19 15:30:00,37,10,20,Friday,10
scattered clouds,12,10,12,76,2021-03-19 15:30:00,34,12,18,Friday,12
scattered clouds,12,10,12,76,2021-03-19 15:30:00,80,16,24,Friday,16
scattered clouds,12,10,12,76,2021-03-19 15:30:00,96,8,22,Friday,8
scattered clouds,12,10,12,76,2021-03-19 15:30:00,22,6,14,Friday,6
scattered clouds,12,10,12,76,2021-03-19 15:30:00,24,13,7,Friday,13
scattered clouds,12,10,12,76,2021-03-19 15:30:00,43,11,19,Friday,11
scattered clouds,12,10,12,76,2021-03-19 15:30:00,78,7,33,Friday,7
scattered clouds,12,10,12,76,2021-03-19 15:30:00,110,12,28,Friday,12
scattered clouds,12,10,12,76,2021-03-19 15:30:00,92,14,26,Friday,14
scattered clouds,12,10,12,76,2021-03-19 15:30:00,73,9,21,Friday,9
scattered clouds,12,10,12,76,2021-03-19 15:30:00,15,13,3,Friday,13
scattered clouds,12,10,12,76,2021-03-19 15:30:00,34,14,16,Friday,14
scattered clouds,12,10,12,76,2021-03-19 15:30:00,93,10,30,Friday,10
scattered clouds,12,10,12,76,2021-03-19 15:30:00,36,11,29,Friday,11
scattered clouds,12,10,12,76,2021-03-19 15:30:00,108,12,28,Friday,12
scattered clouds,12,10,12,76,2021-03-19 15:30:00,94,2,38,Friday,2
scattered clouds,12,10,12,76,2021-03-19 15:30:00,69,10,30,Friday,10
scattered clouds,12,10,12,76,2021-03-19 15:30:00,71,14,26,Friday,14
scattered clouds,12,10,12,76,2021-03-19 15:30:00,74,6,24,Friday,6
scattered clouds,12,10,12,76,2021-03-19 15:30:00,84,17,13,Friday,17
scattered clouds,12,10,12,76,2021-03-19 15:30:00,33,10,13,Friday,10
scattered clouds,12,10,12,76,2021-03-19 15:30:00,59,10,10,Friday,10
scattered clouds,12,10,12,76,2021-03-19 15:30:00,9,20,4,Friday,20
scattered clouds,12,10,12,76,2021-03-19 15:30:00,115,14,16,Friday,14
scattered clouds,12,10,12,76,2021-03-19 15:30:00,7,17,12,Friday,17
scattered clouds,12,10,12,76,2021-03-19 15:30:00,102,14,26,Friday,14
scattered clouds,12,10,12,76,2021-03-19 15:30:00,18,10,20,Friday,10
scattered clouds,12,10,12,76,2021-03-19 15:30:00,68,17,23,Friday,17
scattered clouds,12,10,12,76,2021-03-19 15:30:00,58,12,28,Friday,12
scattered clouds,12,10,12,76,2021-03-19 15:30:00,42,13,17,Friday,13
scattered clouds,12,10,12,76,2021-03-19 15:30:00,12,1,19,Friday,1
scattered clouds,12,10,12,76,2021-03-19 15:30:00,52,12,20,Friday,12
scattered clouds,12,10,12,76,2021-03-19 15:30:00,89,17,23,Friday,17
scattered clouds,12,10,12,76,2021-03-19 15:30:00,44,17,13,Friday,17
scattered clouds,12,10,12,76,2021-03-19 15:30:00,4,10,10,Friday,10
scattered clouds,12,10,12,76,2021-03-19 15:30:00,76,21,17,Friday,21
scattered clouds,12,10,12,76,2021-03-19 15:30:00,49,6,34,Friday,6
scattered clouds,12,10,12,76,2021-03-19 15:30:00,27,15,5,Friday,15
scattered clouds,12,10,12,76,2021-03-19 15:30:00,100,20,5,Friday,20
scattered clouds,12,10,12,76,2021-03-19 15:30:00,8,2,28,Friday,2
scattered clouds,12,10,12,76,2021-03-19 15:30:00,97,11,29,Friday,11
