number,available_bikes,available_bikes_stands,intervals,description,temp,temp_min,temp_max,humidity,Day,Stands_available
8,1,29,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,29
38,13,27,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,27
59,10,10,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,10
78,6,34,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,34
75,7,33,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,33
16,7,13,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,13
77,13,16,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,16
52,12,20,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,20
116,13,17,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,17
66,21,19,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,19
110,12,28,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,28
92,14,26,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,26
3,2,18,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,18
64,9,31,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,31
111,5,35,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,35
73,9,21,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,21
93,10,30,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,30
34,14,16,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,16
44,15,15,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,15
36,11,29,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,29
6,11,9,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,9
71,15,25,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,25
94,2,38,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,38
58,11,29,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,29
97,10,30,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,30
15,13,3,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,3
80,14,26,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,26
66,20,20,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,20
109,4,25,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,25
34,16,14,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,14
61,7,18,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,18
103,11,29,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,29
25,15,15,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,15
54,10,23,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,23
89,16,24,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,24
13,7,23,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,23
9,21,3,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,3
68,19,21,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,21
96,8,22,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,22
49,4,36,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,36
62,6,34,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,34
29,16,13,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,13
67,2,38,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,38
95,17,23,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,23
4,8,12,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,12
88,12,18,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,18
83,16,24,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,24
117,0,40,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,40
57,6,17,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,17
6,10,10,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,10
28,17,13,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,13
38,14,26,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,26
74,4,26,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,26
5,12,28,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,28
86,7,31,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,31
26,13,7,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,7
2,9,11,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,11
51,6,34,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,34
90,14,26,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,26
47,7,33,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,33
113,9,31,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,31
111,4,36,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,36
87,13,25,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,25
55,8,28,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,28
43,9,21,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,21
30,8,12,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,12
12,0,20,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,20
101,8,22,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,22
48,9,31,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,31
22,6,14,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,14
50,7,33,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,33
104,9,31,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,31
77,14,15,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,15
31,17,3,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,3
41,14,6,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,6
42,14,16,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,16
50,8,32,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,32
56,16,24,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,24
84,18,12,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,12
64,10,30,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,30
3,4,16,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,16
44,16,14,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,14
67,3,37,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,37
48,8,32,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,32
75,8,32,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,32
10,8,8,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,8
17,13,7,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,7
111,6,34,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,34
29,15,14,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,14
63,13,22,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,22
